quiz_id,published_id1,published_id2
76760,84619,84578
76759,84620,84579
76758,84621,84580
76757,84622,84581
76756,84623,84582
76755,84624,84565
76754,84625,84566
76753,84626,84567
76752,84627,84568
76751,84628,84569
76750,84629,84583
76749,84630,84584
76748,84631,84585
76747,84632,84586
76746,84633,84587
76745,84634,84588
76744,84635,84589
76743,84636,84590
76742,84637,84591
76741,84638,84592
76740,84639,84593
76739,84640,84594
76738,84641,84595
76737,84642,84570
76735,84643,84596
76734,84644,84597
76733,84645,84571
76732,84646,84572
76731,84647,84598
76730,84648,84599
76728,84649,84600
76727,84650,84601
76726,84651,84602
76725,84652,84573
76724,84653,84574
76722,84654,84575
76721,84655,84576
76720,84656,84603
76719,84657,84604
76718,84658,84605
76717,84659,84606
76716,84660,84607
76715,84661,84608
76714,84662,84609
76713,84663,84610
76712,84664,84611
76711,84665,84612
76710,84666,84613
76709,84667,84614
76708,84668,84615
